date,station,id,count
2020-01-07,VZS_ANDR,VZS_ANDR_2,681
2020-01-07,VZS_BERT,VZS_BERT_2,1177
2020-01-07,VZS_BINZ,VZS_BINZ_2,494
2020-01-07,VZS_BUCH,VZS_BUCH_2,2568
2020-01-07,VZS_HAR*,VZS_HAR*_2,3182
2020-01-07,VZS_HOFW,VZS_HOFW_2,1516
2020-01-07,VZS_LAN*,VZS_LAN*_2,7367
2020-01-07,VZS_LIM*,VZS_LIM*_2,1841
2020-01-07,VZS_LUXG,VZS_LUXG_2,831
2020-01-07,VZS_MILI,VZS_MILI_2,998
2020-01-07,VZS_MUEH,VZS_MUEH_2,1486
2020-01-07,VZS_MYTH,VZS_MYTH_2,1021
2020-01-07,VZS_SIHL,VZS_SIHL_2,2067
2020-01-07,VZS_TALS,VZS_TALS_2,481
2020-01-07,VZS_TOED,VZS_TOED_2,276
2020-01-07,VZS_ZOLL,VZS_ZOLL_2,1917
2020-01-08,VZS_ANDR,VZS_ANDR_3,734
2020-01-08,VZS_BERT,VZS_BERT_3,1173
2020-01-08,VZS_BINZ,VZS_BINZ_3,575
2020-01-08,VZS_BUCH,VZS_BUCH_3,2574
2020-01-08,VZS_HAR*,VZS_HAR*_3,3360
2020-01-08,VZS_HOFW,VZS_HOFW_3,1444
2020-01-08,VZS_LAN*,VZS_LAN*_3,7415
2020-01-08,VZS_LIM*,VZS_LIM*_3,1877
2020-01-08,VZS_LUXG,VZS_LUXG_3,862
2020-01-08,VZS_MILI,VZS_MILI_3,918
2020-01-08,VZS_MUEH,VZS_MUEH_3,1577
2020-01-08,VZS_MYTH,VZS_MYTH_3,1022
2020-01-08,VZS_SIHL,VZS_SIHL_3,2073
2020-01-08,VZS_TALS,VZS_TALS_3,559
2020-01-08,VZS_TOED,VZS_TOED_3,284
2020-01-08,VZS_ZOLL,VZS_ZOLL_3,1925
2020-01-09,VZS_ANDR,VZS_ANDR_4,721
2020-01-09,VZS_BERT,VZS_BERT_4,1314
2020-01-09,VZS_BINZ,VZS_BINZ_4,546
2020-01-09,VZS_BUCH,VZS_BUCH_4,2778
2020-01-09,VZS_HAR*,VZS_HAR*_4,3521
2020-01-09,VZS_HOFW,VZS_HOFW_4,1626
2020-01-09,VZS_LAN*,VZS_LAN*_4,8180
2020-01-09,VZS_LIM*,VZS_LIM*_4,2100
2020-01-09,VZS_LUXG,VZS_LUXG_4,967
2020-01-09,VZS_MILI,VZS_MILI_4,1054
2020-01-09,VZS_MUEH,VZS_MUEH_4,1692
2020-01-09,VZS_MYTH,VZS_MYTH_4,1084
2020-01-09,VZS_SIHL,VZS_SIHL_4,2143
2020-01-09,VZS_TALS,VZS_TALS_4,617
2020-01-09,VZS_TOED,VZS_TOED_4,304
2020-01-09,VZS_ZOLL,VZS_ZOLL_4,2053
2020-01-10,VZS_ANDR,VZS_ANDR_5,711
2020-01-10,VZS_BERT,VZS_BERT_5,1325
2020-01-10,VZS_BUCH,VZS_BUCH_5,2456
2020-01-10,VZS_HAR*,VZS_HAR*_5,3294
2020-01-10,VZS_HOFW,VZS_HOFW_5,1386
2020-01-10,VZS_LAN*,VZS_LAN*_5,8116
2020-01-10,VZS_LIM*,VZS_LIM*_5,2038
2020-01-10,VZS_LUXG,VZS_LUXG_5,886
2020-01-10,VZS_MILI,VZS_MILI_5,885
2020-01-10,VZS_MUEH,VZS_MUEH_5,1553
