date,station,id,count
2020-01-09,FZS_MILI,FZS_MILI_4,3429
2020-01-09,FZS_MYTH,FZS_MYTH_4,452
2020-01-09,FZS_OHM*,FZS_OHM*_4,10570
2020-01-09,FZS_ZEHN,FZS_ZEHN_4,2054
2020-01-10,FZS_ALT*,FZS_ALT*_5,5550
2020-01-10,FZS_ARBO,FZS_ARBO_5,2966
2020-01-10,FZS_CASS,FZS_CASS_5,727
2020-01-10,FZS_HARD,FZS_HARD_5,2702
2020-01-10,FZS_LAN*,FZS_LAN*_5,15534
2020-01-10,FZS_LETD,FZS_LETD_5,1378
2020-01-10,FZS_LIMM,FZS_LIMM_5,6247
2020-01-10,FZS_MILI,FZS_MILI_5,3420
2020-01-10,FZS_MYTH,FZS_MYTH_5,393
2020-01-10,FZS_OHM*,FZS_OHM*_5,9969
2020-01-10,FZS_ZEHN,FZS_ZEHN_5,2000
2020-01-11,FZS_ALT*,FZS_ALT*_6,3233
2020-01-11,FZS_ARBO,FZS_ARBO_6,3065
2020-01-11,FZS_CASS,FZS_CASS_6,686
2020-01-11,FZS_HARD,FZS_HARD_6,1787
2020-01-11,FZS_LAN*,FZS_LAN*_6,13962
2020-01-11,FZS_LETD,FZS_LETD_6,1617
2020-01-11,FZS_LIMM,FZS_LIMM_6,7109
2020-01-11,FZS_MILI,FZS_MILI_6,2793
2020-01-11,FZS_MYTH,FZS_MYTH_6,432
2020-01-11,FZS_OHM*,FZS_OHM*_6,9530
2020-01-11,FZS_ZEHN,FZS_ZEHN_6,1885
2020-01-12,FZS_ALT*,FZS_ALT*_7,2555
2020-01-12,FZS_ARBO,FZS_ARBO_7,4820
2020-01-12,FZS_CASS,FZS_CASS_7,1944
2020-01-12,FZS_HARD,FZS_HARD_7,2128
2020-01-12,FZS_LAN*,FZS_LAN*_7,9591
2020-01-12,FZS_LETD,FZS_LETD_7,3433
2020-01-12,FZS_LIMM,FZS_LIMM_7,3731
2020-01-12,FZS_MILI,FZS_MILI_7,1459
2020-01-12,FZS_MYTH,FZS_MYTH_7,778
2020-01-12,FZS_OHM*,FZS_OHM*_7,4403
2020-01-12,FZS_ZEHN,FZS_ZEHN_7,975
2020-01-13,FZS_ALT*,FZS_ALT*_1,5386
2020-01-13,FZS_ARBO,FZS_ARBO_1,2546
2020-01-13,FZS_CASS,FZS_CASS_1,479
2020-01-13,FZS_HARD,FZS_HARD_1,2676
2020-01-13,FZS_LAN*,FZS_LAN*_1,12750
2020-01-13,FZS_LETD,FZS_LETD_1,1301
2020-01-13,FZS_LIMM,FZS_LIMM_1,4641
2020-01-13,FZS_MILI,FZS_MILI_1,3007
2020-01-13,FZS_MYTH,FZS_MYTH_1,348
2020-01-13,FZS_OHM*,FZS_OHM*_1,9943
2020-01-13,FZS_ZEHN,FZS_ZEHN_1,1972
2020-01-14,FZS_ALT*,FZS_ALT*_2,5977
2020-01-14,FZS_ARBO,FZS_ARBO_2,3307
2020-01-14,FZS_CASS,FZS_CASS_2,774
